Temperature (Celsius),Species,strain_ID,Week,Plate,Growth
15,Rhizopogon Evadens,RZ04,4,4,2.773
15,Rhizopogon Evadens,RZ04,4,5,3.410
15,Rhizopogon Evadens,RZ04,4,6,2.589
15,Rhizopogon Evadens,RZ04,5,1,3.858
15,Rhizopogon Evadens,RZ04,5,2,4.527
15,Rhizopogon Evadens,RZ04,5,3,3.623
15,Rhizopogon Evadens,RZ04,5,4,5.391
15,Rhizopogon Evadens,RZ04,5,5,5.976
15,Rhizopogon Evadens,RZ04,5,6,4.453
15,Rhizopogon Evadens,RZ18,1,1,0.816
15,Rhizopogon Evadens,RZ18,1,2,0.721
15,Rhizopogon Evadens,RZ18,1,3,0.802
15,Rhizopogon Evadens,RZ18,1,4,0.707
15,Rhizopogon Evadens,RZ18,1,5,0.745
15,Rhizopogon Evadens,RZ18,1,6,0.766
15,Rhizopogon Evadens,RZ18,3,1,2.746
15,Rhizopogon Evadens,RZ18,3,2,2.540
15,Rhizopogon Evadens,RZ18,3,3,2.614
15,Rhizopogon Evadens,RZ18,3,4,2.588
15,Rhizopogon Evadens,RZ18,3,5,2.864
15,Rhizopogon Evadens,RZ18,3,6,2.159
15,Rhizopogon Evadens,RZ18,4,1,3.798
15,Rhizopogon Evadens,RZ18,4,2,3.729
15,Rhizopogon Evadens,RZ18,4,3,4.053
15,Rhizopogon Evadens,RZ18,4,4,3.811
15,Rhizopogon Evadens,RZ18,4,5,3.986
15,Rhizopogon Evadens,RZ18,4,6,3.064
15,Rhizopogon Evadens,RZ18,5,1,5.021
15,Rhizopogon Evadens,RZ18,5,2,5.110
15,Rhizopogon Evadens,RZ18,5,3,5.471
15,Rhizopogon Evadens,RZ18,5,4,5.628
15,Rhizopogon Evadens,RZ18,5,5,5.231
15,Rhizopogon Evadens,RZ18,5,6,4.197
15,Rhizopogon Evadens,RZ13,1,1,0.737
15,Rhizopogon Evadens,RZ13,1,2,0.602
15,Rhizopogon Evadens,RZ13,1,3,0.661
15,Rhizopogon Evadens,RZ13,1,4,0.692
15,Rhizopogon Evadens,RZ13,1,5,0.693
15,Rhizopogon Evadens,RZ13,1,6,0.671
15,Rhizopogon Evadens,RZ13,3,1,3.794
15,Rhizopogon Evadens,RZ13,3,2,0.912
15,Rhizopogon Evadens,RZ13,3,3,0.661
15,Rhizopogon Evadens,RZ13,3,4,1.064
15,Rhizopogon Evadens,RZ13,3,5,0.693
15,Rhizopogon Evadens,RZ13,3,6,0.671
15,Rhizopogon Evadens,RZ13,4,1,5.753
15,Rhizopogon Evadens,RZ13,4,2,1.492
15,Rhizopogon Evadens,RZ13,4,3,0.827
15,Rhizopogon Evadens,RZ13,4,4,1.866
15,Rhizopogon Evadens,RZ13,4,5,1.325
15,Rhizopogon Evadens,RZ13,4,6,0.671
15,Rhizopogon Evadens,RZ13,5,1,7.275
15,Rhizopogon Evadens,RZ13,5,2,3.324
15,Rhizopogon Evadens,RZ13,5,3,2.020
15,Rhizopogon Evadens,RZ13,5,4,3.763
15,Rhizopogon Evadens,RZ13,5,5,2.917
15,Rhizopogon Evadens,RZ13,5,6,1.573
15,Rhizopogon idahoensis,RP05,1,1,0.597
15,Rhizopogon idahoensis,RP05,1,2,0.730
15,Rhizopogon idahoensis,RP05,1,3,0.715
15,Rhizopogon idahoensis,RP05,1,4,0.619
15,Rhizopogon idahoensis,RP05,1,5,0.690
15,Rhizopogon idahoensis,RP05,1,6,0.668
15,Rhizopogon idahoensis,RP05,3,1,2.753
15,Rhizopogon idahoensis,RP05,3,2,2.753
15,Rhizopogon idahoensis,RP05,3,3,2.596
15,Rhizopogon idahoensis,RP05,3,4,2.295
15,Rhizopogon idahoensis,RP05,3,5,2.347
15,Rhizopogon idahoensis,RP05,3,6,2.471
15,Rhizopogon idahoensis,RP05,4,1,4.006
15,Rhizopogon idahoensis,RP05,4,2,3.764
15,Rhizopogon idahoensis,RP05,4,3,3.612
15,Rhizopogon idahoensis,RP05,4,4,3.380
15,Rhizopogon idahoensis,RP05,4,5,3.493
15,Rhizopogon idahoensis,RP05,4,6,3.752
15,Rhizopogon idahoensis,RP05,5,1,6.609
15,Rhizopogon idahoensis,RP05,5,2,6.032
15,Rhizopogon idahoensis,RP05,5,3,5.853
15,Rhizopogon idahoensis,RP05,5,4,5.377
